X,Y,Z,Name,description
5.386711,52.152739,0,Amersfoortse Kei,"
        <b>Type:</b> Natural Stone / Erratic / Other Natural Feature <b>County/Region:</b> Utrecht <br /> Pos Accuracy: <b>5</b> Condition: <b>4</b> (5 is best)   Ambience: <b>3</b>  Access: <b>5</b>  (5 is best)<br />
                    <b>Lat:</b> 52.152739 &nbsp;&nbsp;&nbsp;<b>Long</b>: 5.386711<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/Amersfoortse_kei.jpg"" align=""right"" valign=""top""></a>
<br />
                    Natural Stone / Erratic / Other Natural Feature in Utrecht. The Amersfoortse Kei is a large erratic giving the city of Amersfoort its nickname ""Keistad"" (boulder city) and its citizens the nickname ""K...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=45160"" >Link To More Information</a><br />
                    "
5.672197,52.055222,0,Bloedsteen,"
        <b>Type:</b> Natural Stone / Erratic / Other Natural Feature <b>County/Region:</b> Gelderland <br /> Pos Accuracy: <b>5</b> Condition: <b>4</b> (5 is best)   Ambience: <b>4</b>  Access: <b>4</b>  (5 is best)<br />
                    <b>Lat:</b> 52.055222 &nbsp;&nbsp;&nbsp;<b>Long</b>: 5.672197<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/800px-Bloedsteen_te_Ede.jpg"" align=""right"" valign=""top""></a>
<br />
                    Natural Stone / Erratic / Other Natural Feature in Gelderland. The Bloedsteen (bloodstone) is a large erratic in Ede. <br />
<br />
Legend has it a ghost (Het Witte Wief) is haunting this site. The ...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=45163"" >Link To More Information</a><br />
                    "
6.42163,52.28389,0,de Dikke Steen van Holten,"
        <b>Type:</b> Natural Stone / Erratic / Other Natural Feature <b>County/Region:</b> Overijssel <br /> Pos Accuracy: <b>5</b> Condition: <b>5</b> (5 is best)   Ambience: <b>4</b>  Access: <b>5</b>  (5 is best)<br />
                    <b>Lat:</b> 52.28389 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.42163<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/17_7.jpgmediaclass-fancybox-big-img.5a17fc1f47.jpg"" align=""right"" valign=""top""></a>
<br />
                    Erratic stone, weighing 8.010 kg. Found in an agrarian field in 1914 and moved to the centre of the village in 1926, now in front of the local railway station.. http://www.canonvannederland.nl/nl/over...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=60196"" >Link To More Information</a><br />
                    "
5.123139,52.084478,0,De Gesloten Steen,"
        <b>Type:</b> Natural Stone / Erratic / Other Natural Feature <b>County/Region:</b> Utrecht <b>Alt Name:</b> duivelssteen <br /> Pos Accuracy: <b>5</b> Condition: <b>4</b> (5 is best)   Ambience: <b>3</b>  Access: <b>5</b>  (5 is best)<br />
                    <b>Lat:</b> 52.084478 &nbsp;&nbsp;&nbsp;<b>Long</b>: 5.123139<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/Utrecht_-_De_Gesloten_Steen_-_Oudegracht_364_-.jpg"" align=""right"" valign=""top""></a>
<br />
                    Natural Stone / Erratic / Other Natural Feature in Utrecht. The gesloten steen (locked stone) is a large erratic in downtown Utrecht. This national monument is chained to a building which is named aft...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=45161"" >Link To More Information</a><br />
                    "
6.73438,52.85403,0,De Kielse Kei,"
        <b>Type:</b> Natural Stone / Erratic / Other Natural Feature <b>County/Region:</b> Drenthe <br /> Pos Accuracy: <b>4</b>  Access: <b>4</b>  (5 is best)<br />
                    <b>Lat:</b> 52.85403 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.73438<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/DeKielseKei.jpg"" align=""right"" valign=""top""></a>
<br />
                    Erratic in Drenthe. This large stray block is located in a hole on the edge of a small heather field. The rounded shape is characteristic of blocks created by the weathering of granite rocks. The stra...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=54711"" >Link To More Information</a><br />
                    "
6.968386,52.320236,0,De Olifant,"
        <b>Type:</b> Natural Stone / Erratic / Other Natural Feature <b>County/Region:</b> Overijssel <b>Alt Name:</b> The Elephant <br /> Pos Accuracy: <b>4</b> Condition: <b>5</b> (5 is best)   Ambience: <b>3</b>  Access: <b>5</b>  (5 is best)<br />
                    <b>Lat:</b> 52.320236 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.968386<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/ioh_P1140516.jpg"" align=""right"" valign=""top""></a>
<br />
                    Erratic in Overijssel. De Olifant (The Elephant) is a large glacial erratic placed on the corner of the Bentheimerstraat and the Kruisseltlaan in De Lutte.<br />
<br />
In 2014 it was relocated to a...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=46906"" >Link To More Information</a><br />
                    "
4.95272,52.89735,0,De steen van Westerklief,"
        <b>Type:</b> Natural Stone / Erratic / Other Natural Feature <b>County/Region:</b> Noord-Holland <br /> Pos Accuracy: <b>4</b>  (5 is best)<br />
                    <b>Lat:</b> 52.89735 &nbsp;&nbsp;&nbsp;<b>Long</b>: 4.95272<br />
                    Natural Stone / Erratic / Other Natural Feature in Noord-Holland. Glacial boulder surrounded with folklore....<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=58623"" >Link To More Information</a><br />
                    "
6.4004231,52.4668097,0,Dikke Steen,"
        <b>Type:</b> Natural Stone / Erratic / Other Natural Feature <b>County/Region:</b> Overijssel <br /> Pos Accuracy: <b>5</b> Condition: <b>5</b> (5 is best)   Ambience: <b>5</b>  Access: <b>3</b>  (5 is best)<br />
                    <b>Lat:</b> 52.4668097 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.4004231<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/dikkesteen2.jpg"" align=""right"" valign=""top""></a>
<br />
                    Natural Stone / Erratic / Other Natural Feature in Overijssel. The Dikke Steen (dutch for ""Fat Rock"") is a glacial erratic. It measures 4,2 x 2,6 x 2,2m. It is a swedish granite gneiss....<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=44206"" >Link To More Information</a><br />
                    "
6.48042,52.22428,0,Dikke Steen (Markelo),"
        <b>Type:</b> Natural Stone / Erratic / Other Natural Feature <b>County/Region:</b> Overijssel <br /> Pos Accuracy: <b>4</b> Condition: <b>4</b> (5 is best)   Ambience: <b>4</b>  Access: <b>4</b>  (5 is best)<br />
                    <b>Lat:</b> 52.22428 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.48042<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/zvpm_DSC08499.jpg"" align=""right"" valign=""top""></a>
<br />
                    Natural Stone / Erratic / Other Natural Feature in Overijssel. ...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=61004"" >Link To More Information</a><br />
                    "
5.11318,52.3276,0,Floriskei,"
        <b>Type:</b> Natural Stone / Erratic / Other Natural Feature <b>County/Region:</b> Noord-Holland <br /> Pos Accuracy: <b>4</b>  (5 is best)<br />
                    <b>Lat:</b> 52.3276 &nbsp;&nbsp;&nbsp;<b>Long</b>: 5.11318<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/kvis_DSC08524.jpg"" align=""right"" valign=""top""></a>
<br />
                    Natural Stone / Erratic / Other Natural Feature in Noord-Holland. Boulder, memorial for the Dutch count Floris V (1254 - 1296), who allegedly was killed on this spot. ...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=59005"" >Link To More Information</a><br />
                    "
6.0878,52.808,0,Geologisch Monument Wolterholten,"
        <b>Type:</b> Natural Stone / Erratic / Other Natural Feature <br /> Pos Accuracy: <b>5</b>  Access: <b>5</b>  (5 is best)<br />
                    <b>Lat:</b> 52.808 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.0878<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/fjw_DSCN0140M.jpg"" align=""right"" valign=""top""></a>
<br />
                    Natural Stone / Erratic / Other Natural Feature in Netherlands. 'Geologisch monument Wolterholten' (Geological monument Wolterholten) is a collection of erratics northwest of Steenwijk.<br />
<br />
...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=48164"" >Link To More Information</a><br />
                    "
6.68822,52.74628,0,Kei van Gees,"
        <b>Type:</b> Natural Stone / Erratic / Other Natural Feature <b>County/Region:</b> Drenthe <br /> Pos Accuracy: <b>5</b> Condition: <b>4</b> (5 is best)   Ambience: <b>3</b>  Access: <b>5</b>  (5 is best)<br />
                    <b>Lat:</b> 52.74628 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.68822<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/20210624_122905b.jpg"" align=""right"" valign=""top""></a>
<br />
                    Erratic in Drenthe. Glacial erratic in Gees measuring 3.30x2.30x1.90m and weighing over 24 tons.<br />
<br />
Source and further reading (Dutch): www.kijkeensomlaag.nl<br />
<br />

...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=48192"" >Link To More Information</a><br />
                    "
5.171667,52.225278,0,Kei van Hilversum,"
        <b>Type:</b> Natural Stone / Erratic / Other Natural Feature <b>County/Region:</b> Noord-Holland <b>Alt Name:</b> De Zwerver <br /> Pos Accuracy: <b>5</b> Condition: <b>4</b> (5 is best)   Ambience: <b>3</b>  Access: <b>5</b>  (5 is best)<br />
                    <b>Lat:</b> 52.225278 &nbsp;&nbsp;&nbsp;<b>Long</b>: 5.171667<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/Hilversum_Kei_2015.JPG"" align=""right"" valign=""top""></a>
<br />
                    Natural Stone / Erratic / Other Natural Feature in Noord-Holland. The Kei van Hilversum (Hilversum Boulder) is a large erratic weighing 13 metric tons. In the middle ages it served as a border marker ...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=45159"" >Link To More Information</a><br />
                    "
5.22229,52.18011,0,Kei van Lage Vuursche,"
        <b>Type:</b> Natural Stone / Erratic / Other Natural Feature <b>County/Region:</b> Utrecht <br /> Pos Accuracy: <b>5</b>  Access: <b>5</b>  (5 is best)<br />
                    <b>Lat:</b> 52.18011 &nbsp;&nbsp;&nbsp;<b>Long</b>: 5.22229<br />
                    Natural Stone / Erratic / Other Natural Feature in Utrecht. The 'Kei van Lage Vuursche' (Lage Vuursche Boulder) is an erratic and a national monument. It was probably dug up around the year 1800 near ...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=48165"" >Link To More Information</a><br />
                    "
6.8967453132404,52.227663687004,0,Kei van O,"
        <b>Type:</b> Natural Stone / Erratic / Other Natural Feature <b>County/Region:</b> Overijssel <br /> Pos Accuracy: <b>4</b> Condition: <b>5</b> (5 is best)   Ambience: <b>4</b>  Access: <b>5</b>  (5 is best)<br />
                    <b>Lat:</b> 52.227663687004 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.8967453132404<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/20210704_120050.jpg"" align=""right"" valign=""top""></a>
<br />
                    Glacial erratic in front of the Rijksmuseum Twenthe. The stone was a citizens gift to Bernhard van Heek, the founder of the museum. The stone weights 28 tonnes.. The stone was named 'Kei van O' by loc...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=55462"" >Link To More Information</a><br />
                    "
6.11694,52.81644,0,Koe en Kalf,"
        <b>Type:</b> Natural Stone / Erratic / Other Natural Feature <b>County/Region:</b> Overijssel <br /> Pos Accuracy: <b>5</b>  Ambience: <b>4</b>  Access: <b>4</b>  (5 is best)<br />
                    <b>Lat:</b> 52.81644 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.11694<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/nbc_DSCN0137M.jpg"" align=""right"" valign=""top""></a>
<br />
                    'Koe en Kalf' (Cow and Calf) are two large erratics near Steenwijk. They are located on top of a low hill called 'De Bult' surrounded by a half circle of trees. Legend has it that it used to be an old...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=48163"" >Link To More Information</a><br />
                    "
6.567865,51.987294,0,Koningssteen,"
        <b>Type:</b> Natural Stone / Erratic / Other Natural Feature <b>County/Region:</b> Gelderland <br /> Pos Accuracy: <b>5</b> Condition: <b>5</b> (5 is best)   Ambience: <b>3</b>  Access: <b>5</b>  (5 is best)<br />
                    <b>Lat:</b> 51.987294 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.567865<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/IMG_0673_Lichtenvoorde.jpg"" align=""right"" valign=""top""></a>
<br />
                    Natural Stone / Erratic / Other Natural Feature in Gelderland. On the market square in Lichtenvoorde stands a 20 tonne glacial erratic known as the Koningssteen (Kings Stone). It was found in the Vrag...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=48198"" >Link To More Information</a><br />
                    "
6.79781,53.34619,0,Leermster Stain,"
        <b>Type:</b> Natural Stone / Erratic / Other Natural Feature <b>County/Region:</b> Groningen <br /> Pos Accuracy: <b>5</b> Condition: <b>4</b> (5 is best)   Ambience: <b>3</b>  Access: <b>5</b>  (5 is best)<br />
                    <b>Lat:</b> 53.34619 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.79781<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/asq_DSC00056.jpg"" align=""right"" valign=""top""></a>
<br />
                    Natural Stone / Erratic / Other Natural Feature in Groningen. In front of the church in Leermens stands a glacial erratic known locally as the Leermster Stain. There used to be another stone at this l...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=48197"" >Link To More Information</a><br />
                    "
