X,Y,Z,Name,description
6.241754,51.874528,0,Berghse Kei,"
        <b>Type:</b> Modern Stone Circle etc <b>County/Region:</b> Gelderland <br /> Pos Accuracy: <b>4</b> Condition: <b>4</b> (5 is best)   Ambience: <b>3</b>  Access: <b>5</b>  (5 is best)<br />
                    <b>Lat:</b> 51.874528 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.241754<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/Berghse_Kei_2.jpg"" align=""right"" valign=""top""></a>
<br />
                    The Berghse Kei is a stone assembly in Gelderland, the Netherlands that resembles a Dolmen. It mainly consists of an impressive capstone that is stabilized by several orthostats. The gaps between caps...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=36790"" >Link To More Information</a><br />
                    "
6.450903,52.192587,0,Centrum Athanor,"
        <b>Type:</b> Modern Stone Circle etc <b>County/Region:</b> Gelderland <br /> Pos Accuracy: <b>4</b>  (5 is best)<br />
                    <b>Lat:</b> 52.192587 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.450903<br />
                    Modern Stone Circle at Centrum Athanor in Lochem, Gelderland. . Website: link (under construction at time of posting)...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=46326"" >Link To More Information</a><br />
                    "
6.64905,53.00025,0,De Baak,"
        <b>Type:</b> Modern Stone Circle etc <b>County/Region:</b> Drenthe <b>Alt Name:</b> Compositie in Majeur <br /> Pos Accuracy: <b>5</b> Condition: <b>5</b> (5 is best)   Ambience: <b>4</b>  Access: <b>4</b>  (5 is best)<br />
                    <b>Lat:</b> 53.00025 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.64905<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/flk2jjoDV7.jpg"" align=""right"" valign=""top""></a>
<br />
                    An artwork by Rob Schreefel made from 10 large glacial erratics. It is 6.5 meters wie. It was created in 2002 in Exloo. In 2006 it was relocated to Lutjegast.. See also: Westerkwartier tourism website...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=50301"" >Link To More Information</a><br />
                    "
6.79717,52.94353,0,De Gewichtheffer,"
        <b>Type:</b> Modern Stone Circle etc <b>County/Region:</b> Drenthe <b>Alt Name:</b> The Weightlifter (translation) <br /> Pos Accuracy: <b>5</b> Condition: <b>5</b> (5 is best)   Ambience: <b>5</b>  Access: <b>5</b>  (5 is best)<br />
                    <b>Lat:</b> 52.94353 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.79717<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/P1820714_De_Gewichtheffer_Ton_Kalle_1992.jpg"" align=""right"" valign=""top""></a>
<br />
                    De Gewichtheffer, a creation by Ton Kalle (b. 1955).
Erected along Molenplaatsweg in 1992.. The plaque next to it reads :<br />
""De taal van de steen probeer ik op elementaire wijze bloot te leggen....<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=56987"" >Link To More Information</a><br />
                    "
6.8438,52.89552,0,De Koe,"
        <b>Type:</b> Modern Stone Circle etc <b>County/Region:</b> Drenthe <br /> Pos Accuracy: <b>5</b> Condition: <b>5</b> (5 is best)   Ambience: <b>4</b>  Access: <b>4</b>  (5 is best)<br />
                    <b>Lat:</b> 52.89552 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.8438<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/ldu_IMG_4709M.jpg"" align=""right"" valign=""top""></a>
<br />
                    20th Century art work in Boswachterij Exloo, close to hunebed D30.. ...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=55780"" >Link To More Information</a><br />
                    "
6.983688,52.321504,0,De Sproakstee,"
        <b>Type:</b> Modern Stone Circle etc <b>County/Region:</b> Overijssel <b>Alt Name:</b> Irminzoele, Irminsul <br /> Pos Accuracy: <b>4</b> Condition: <b>5</b> (5 is best)   Ambience: <b>4</b>  Access: <b>5</b>  (5 is best)<br />
                    <b>Lat:</b> 52.321504 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.983688<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/erl_P1140506.jpg"" align=""right"" valign=""top""></a>
<br />
                    Modern Stone Circle in Overijssel. 'De Sproakstee' is a meeting place from around 1600 for tenants of the 'Marke'. The site has been reconstructed a couple tens of meters from the original location wi...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=46905"" >Link To More Information</a><br />
                    "
6.5858,53.09657,0,Gebroken Cirkel,"
        <b>Type:</b> Modern Stone Circle etc <b>County/Region:</b> Drenthe <br /> Pos Accuracy: <b>5</b> Condition: <b>4</b> (5 is best)   Ambience: <b>4</b>  Access: <b>5</b>  (5 is best)<br />
                    <b>Lat:</b> 53.09657 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.5858<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/den_XVPV2513M.jpg"" align=""right"" valign=""top""></a>
<br />
                    A tree-shaped labyrinth, which was unveiled in 2010. It commemorates the location where in 1897 workers in the Stijfveen peat bog found the body of ""het meisje van Yde"" (the Yde girl). Tests have indi...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=55781"" >Link To More Information</a><br />
                    "
6.997203,52.320593,0,Ludger Monument Bloemenbeek,"
        <b>Type:</b> Modern Stone Circle etc <b>County/Region:</b> Overijssel <br /> Pos Accuracy: <b>4</b> Condition: <b>5</b> (5 is best)   Ambience: <b>4</b>  Access: <b>5</b>  (5 is best)<br />
                    <b>Lat:</b> 52.320593 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.997203<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/hmk_P1120735.jpg"" align=""right"" valign=""top""></a>
<br />
                    Modern Stone Circle in Overijssel. Modern stone circle created in 1996. The stone circle is dedicated to Ludger, a missionary who brought Christianity to this region more than 1200 years ago.<br />
<...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=46295"" >Link To More Information</a><br />
                    "
6.8714,52.8686,0,Mental Map (Drenthe),"
        <b>Type:</b> Modern Stone Circle etc <b>County/Region:</b> Drenthe <br /> Pos Accuracy: <b>5</b> Condition: <b>5</b> (5 is best)   Ambience: <b>5</b>  Access: <b>5</b>  (5 is best)<br />
                    <b>Lat:</b> 52.8686 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.8714<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/P1820345_Mental_Map_near_D31.jpg"" align=""right"" valign=""top""></a>
<br />
                    Modern Stone Circle etc in Drenthe. ""Mental Map"", by Petra Boshart (b. 1960).  <br />
Undated, probably ca. 2010.<br />
<br />
An information board reads : <br />
""Het idee achter dit beeld is de ...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=56964"" >Link To More Information</a><br />
                    "
6.81247,52.86875,0,Ode aan de Zon,"
        <b>Type:</b> Modern Stone Circle etc <b>County/Region:</b> Drenthe <br /> Pos Accuracy: <b>5</b> Condition: <b>5</b> (5 is best)   Ambience: <b>4</b>  Access: <b>4</b>  (5 is best)<br />
                    <b>Lat:</b> 52.86875 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.81247<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/quh_SAM_5835.JPG"" align=""right"" valign=""top""></a>
<br />
                    Modern Stone Circle / Monolith in Drenthe. Landscape temple 'Ode aan de Zon' (Ode to the Sun) is an artwork by the Dutch sculptor Rob Schreefel created in 2000. The 13 tonne capstone comes from Bretan...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=48177"" >Link To More Information</a><br />
                    "
